date,year,month,fiscal_year,visitors,visitors_dom,visitors_intl,tot_monthly_nominal,spend_real,visitor_index,spending_index,spv,visitor_index_yoy,spending_index_yoy,spv_yoy
2017-01-01,2017,1,2018,NA,NA,NA,215454294.33333334,226857044.25995335,NA,113.46551736581443,NA,NA,NA,NA
2017-02-01,2017,2,2018,NA,NA,NA,215454294.33333334,226112029.33627534,NA,113.09288840894804,NA,NA,NA,NA
2017-03-01,2017,3,2018,NA,NA,NA,215454294.33333334,225926539.56651628,NA,113.00011327489639,NA,NA,NA,NA
2017-04-01,2017,4,2018,NA,NA,NA,215454294.33333334,225279715.1178596,NA,112.67659556817893,NA,NA,NA,NA
2017-05-01,2017,5,2018,NA,NA,NA,215454294.33333334,225095587.84763658,NA,112.58450190608804,NA,NA,NA,NA
2017-06-01,2017,6,2018,NA,NA,NA,215454294.33333334,224911761.31611544,NA,112.49255866239177,NA,NA,NA,NA
2018-01-01,2018,1,2019,NA,NA,NA,229064844.08333334,236226008.02704385,NA,118.15152711473962,NA,NA,NA,NA
2018-02-01,2018,2,2019,NA,NA,NA,229064844.08333334,235276928.04300588,NA,117.67683234931276,NA,NA,NA,NA
2018-03-01,2018,3,2019,NA,NA,NA,229064844.08333334,234617096.91468018,NA,117.34680918166647,NA,NA,NA,NA
2018-04-01,2018,4,2019,NA,NA,NA,229064844.08333334,233774161.23714238,NA,116.92520387921736,NA,NA,NA,NA
2018-05-01,2018,5,2019,NA,NA,NA,229064844.08333334,232752096.1442932,NA,116.41400465716991,NA,NA,NA,NA
2018-06-01,2018,6,2019,NA,NA,NA,229064844.08333334,232474900.3172059,NA,116.27536153927728,NA,NA,NA,NA
2018-07-01,2018,7,2018,NA,NA,NA,215454294.33333334,218574961.6917328,NA,109.3231254619831,NA,NA,-3.650793650793671,NA
2018-08-01,2018,8,2018,NA,NA,NA,215454294.33333334,218488260.00125614,NA,109.27976047766658,NA,NA,-3.371677905593007,NA
2018-09-01,2018,9,2018,NA,NA,NA,215454294.33333334,218228567.1407158,NA,109.14987169738409,NA,NA,-3.4072900158478525,NA
2018-10-01,2018,10,2018,NA,NA,NA,215454294.33333334,217797114.8529722,NA,108.93407519343513,NA,NA,-3.3214709371293005,NA
2018-11-01,2018,11,2018,NA,NA,NA,215454294.33333334,218574961.6917328,NA,109.3231254619831,NA,NA,-2.8968253968254087,NA
2018-12-01,2018,12,2018,NA,NA,NA,215454294.33333334,219271060.29584664,NA,109.67128828192574,NA,NA,-2.507961783439483,NA
2019-01-01,2019,1,2020,NA,NA,NA,171070989.16666666,173755655.06737518,NA,86.90616313798118,NA,NA,-26.445163037474206,NA
2019-01-31,2019,1,NA,6918906,5150529,1768377,NA,NA,90.7787688242658,NA,NA,NA,NA,NA
2019-02-01,2019,2,2020,NA,NA,NA,171070989.16666666,172999598.0239649,NA,86.52801132052952,NA,NA,-26.26300457256224,NA
2019-02-28,2019,2,NA,6119080,4719692,1399388,NA,NA,80.28473702882917,NA,NA,NA,NA,NA
2019-03-01,2019,3,2020,NA,NA,NA,171070989.16666666,172046807.16151983,NA,86.05146051073903,NA,NA,-26.0815219232825,NA
2019-03-31,2019,3,NA,7443089,5794815,1648274,NA,NA,97.65625601351366,NA,NA,NA,NA,NA
2019-04-01,2019,4,2020,NA,NA,NA,171070989.16666666,171171422.23271364,NA,85.61362529091923,NA,NA,-21.68754329961852,NA
2019-04-30,2019,4,NA,7595391,5792726,1802665,NA,NA,99.65451817366922,NA,NA,NA,NA,NA
2019-05-01,2019,5,2020,NA,NA,NA,171070989.16666666,170770395.86278144,NA,85.41304670765271,NA,NA,-21.747002191208487,NA
2019-05-31,2019,5,NA,7885374,6111849,1773525,NA,NA,103.45920922164228,NA,NA,NA,NA,NA
2019-06-01,2019,6,2020,NA,NA,NA,171070989.16666666,170770395.86278144,NA,85.41304670765271,NA,NA,-21.871016450810377,NA
2019-06-30,2019,6,NA,8311944,6374906,1937038,NA,NA,109.05597544702054,NA,NA,NA,NA,NA
2019-07-01,2019,7,2019,NA,NA,NA,229064844.08333334,228216786.3986912,NA,114.1456101782695,NA,NA,31.343515875899563,NA
2019-07-31,2019,7,NA,8903806,6742127,2161679,NA,NA,116.82143774320835,NA,NA,28.688061378489603,NA,NA
2019-08-01,2019,8,2019,NA,NA,NA,229064844.08333334,228216786.3986912,NA,114.1456101782695,NA,NA,31.917524089898343,NA
2019-08-31,2019,8,NA,8717015,6602847,2114168,NA,NA,114.37066633405011,NA,NA,42.4563006203547,NA,NA
2019-09-01,2019,9,2019,NA,NA,NA,229064844.08333334,228039047.46847418,NA,114.0567117279749,NA,NA,32.544771525104885,NA
2019-09-30,2019,9,NA,7306924,5550638,1756286,NA,NA,95.86971764213584,NA,NA,-1.8294151796384606,NA,NA
2019-10-01,2019,10,2019,NA,NA,NA,229064844.08333334,227595909.01633957,NA,113.83507023608222,NA,NA,32.96373077213488,NA
2019-10-31,2019,10,NA,7599596,5916883,1682713,NA,NA,99.70968942804181,NA,NA,0.05536252182409829,NA,NA
2019-11-01,2019,11,2019,NA,NA,NA,229064844.08333334,227684398.8721002,NA,113.8793295946499,NA,NA,33.32779239737238,NA
2019-11-30,2019,11,NA,6991831,5471736,1520095,NA,NA,91.73557351513882,NA,NA,-11.331650217224965,NA,NA
2019-12-01,2019,12,2019,NA,NA,NA,229064844.08333334,227950281.78242186,NA,114.01231440927971,NA,NA,33.48348853485472,NA
2019-12-31,2019,12,NA,7667716,5986004,1681712,NA,NA,100.60345062848434,NA,NA,-7.750629696253963,NA,NA
2020-01-01,2020,1,2021,NA,NA,NA,108309680,107406399.11559348,NA,53.72071510411239,NA,NA,-52.93667884361663,NA
2020-01-31,2020,1,NA,7009607,5244094,1765513,NA,NA,91.96880162874814,NA,NA,-21.274037192634253,NA,NA
2020-02-01,2020,2,2021,NA,NA,NA,108309680,107032739.43563975,NA,53.53382432872121,NA,NA,-53.100408990662416,NA
2020-02-29,2020,2,NA,6109451,4837807,1271644,NA,NA,80.15840076049298,NA,NA,-29.913496764660852,NA,NA
2020-03-01,2020,3,2021,NA,NA,NA,108309680,107281556.3425029,NA,53.65827335854387,NA,NA,-52.954742824325166,NA
2020-03-31,2020,3,NA,3195827,2501646,694181,NA,NA,41.93050757379084,NA,NA,-56.263032159633795,NA,NA
2020-04-01,2020,4,2021,NA,NA,NA,108309680,107992861.51326054,NA,54.01404194165435,NA,NA,-52.55061394556635,NA
2020-04-30,2020,4,NA,284054,220796,63258,NA,NA,3.7269002353273764,NA,NA,-96.2622486774297,NA,NA
2020-05-01,2020,5,2021,NA,NA,NA,108309680,107992861.51326054,NA,54.01404194165435,NA,NA,-52.56905521492291,NA
2020-05-31,2020,5,NA,666158,634608,31550,NA,NA,8.74025504645319,NA,NA,-90.47233836172528,NA,NA
2020-06-01,2020,6,2021,NA,NA,NA,108309680,107656958.36702955,NA,53.846035590358376,NA,NA,-52.77173709757117,NA
2020-06-30,2020,6,NA,1043129,970598,72531,NA,NA,13.686262878103497,NA,NA,-86.39583156183667,NA,NA
2020-07-01,2020,7,2020,NA,NA,NA,171070989.16666666,168793123.81496847,NA,84.42408823554558,NA,NA,57.15369401157287,NA
2020-07-31,2020,7,NA,1529887,1401400,128487,NA,NA,20.07271934323859,NA,NA,-78.17442547064336,NA,NA
2020-08-01,2020,8,2020,NA,NA,NA,171070989.16666666,168273560.5250417,NA,84.1642218616001,NA,NA,57.21690523134455,NA
2020-08-31,2020,8,NA,1684608,1517489,167119,NA,NA,22.102719735101005,NA,NA,-72.4261967237318,NA,NA
2020-09-01,2020,9,2020,NA,NA,NA,171070989.16666666,168014976.4904277,NA,84.03488767510511,NA,NA,56.6112407560808,NA
2020-09-30,2020,9,NA,1706190,1533716,172474,NA,NA,22.38588406610439,NA,NA,-46.61194113448569,NA,NA
2020-10-01,2020,10,2020,NA,NA,NA,171070989.16666666,167950454.61005506,NA,84.00261621286431,NA,NA,55.519959612730794,NA
2020-10-31,2020,10,NA,1991295,1780824,210471,NA,NA,26.126573834926557,NA,NA,601.0269174171109,NA,NA
2020-11-01,2020,11,2020,NA,NA,NA,171070989.16666666,168079547.9648668,NA,84.06718394246681,NA,NA,55.63949839798268,NA
2020-11-30,2020,11,NA,1986862,1756850,230012,NA,NA,26.068411130851956,NA,NA,198.2568699918038,NA,NA
2020-12-01,2020,12,2020,NA,NA,NA,171070989.16666666,167885982.26663467,NA,83.97036952717798,NA,NA,55.945314462878756,NA
2020-12-31,2020,12,NA,1745532,1505403,240129,NA,NA,22.902066584422208,NA,NA,67.33615880682065,NA,NA
2021-01-01,2021,1,2022,NA,NA,NA,211008782.5,206209461.9500191,NA,103.13835905872942,NA,NA,22.1669800815266,NA
2021-01-31,2021,1,NA,1604746,1301368,303378,NA,NA,21.054898875004984,NA,NA,4.893106484335097,NA,NA
2021-02-01,2021,2,2022,NA,NA,NA,211008782.5,205111768.996673,NA,102.5893335732457,NA,NA,21.891857732545674,NA
2021-02-28,2021,2,NA,1499481,1329392,170089,NA,NA,19.67378066061006,NA,NA,-10.989322144973778,NA,NA
2021-03-01,2021,3,2022,NA,NA,NA,211008782.5,203640601.1556248,NA,101.85350973863204,NA,NA,21.20383873471352,NA
2021-03-31,2021,3,NA,2437755,2196243,241512,NA,NA,31.984304685624874,NA,NA,42.877112162185924,NA,NA
2021-04-01,2021,4,2022,NA,NA,NA,211008782.5,201963291.82375515,NA,101.01458154160846,NA,NA,20.251708929678447,NA
2021-04-30,2021,4,NA,2973864,2667789,306075,NA,NA,39.018265686917324,NA,NA,49.343216349159725,NA,NA
2021-05-01,2021,5,2022,NA,NA,NA,211008782.5,200387798.0911033,NA,100.22657774800751,NA,NA,19.22199965280118,NA
2021-05-31,2021,5,NA,3788357,3388400,399957,NA,NA,49.7047342927898,NA,NA,90.67036361861068,NA,NA
2021-06-01,2021,6,2022,NA,NA,NA,211008782.5,198543964.8366765,NA,99.30436043343256,NA,NA,18.2611925999582,NA
2021-06-30,2021,6,NA,4610824,4087865,522959,NA,NA,60.495824915872035,NA,NA,164.1500700073101,NA,NA
2021-07-01,2021,7,2021,NA,NA,NA,108309680,101426262.6080586,NA,50.729671625788185,NA,NA,-50.81396282744666,NA
2021-07-31,2021,7,NA,5416786,4731455,685331,NA,NA,71.07036344539432,NA,NA,237.54787361987505,NA,NA
2021-08-01,2021,8,2021,NA,NA,NA,108309680,101203836.59356724,NA,50.618422345907064,NA,NA,-50.659176170817965,NA
2021-08-31,2021,8,NA,5147292,4389645,757647,NA,NA,67.5344961384058,NA,NA,243.27157196389945,NA,NA
2021-09-01,2021,9,2021,NA,NA,NA,108309680,100945569.4203427,NA,50.48924664177971,NA,NA,-50.42954654057481,NA
2021-09-30,2021,9,NA,4460734,3889991,570743,NA,NA,58.52658506598333,NA,NA,82.9853287143294,NA,NA
2021-10-01,2021,10,2021,NA,NA,NA,108309680,100106181.09906001,NA,50.06941559595146,NA,NA,-50.43347719524276,NA
2021-10-31,2021,10,NA,4986083,4379017,607066,NA,NA,65.41937063397042,NA,NA,67.66345064871831,NA,NA
2021-11-01,2021,11,2021,NA,NA,NA,108309680,99637890.21950343,NA,49.835193788557675,NA,NA,-50.27746640830666,NA
2021-11-30,2021,11,NA,4995123,4306477,688646,NA,NA,65.5379789905764,NA,NA,31.85460082035563,NA,NA
2021-12-01,2021,12,2021,NA,NA,NA,108309680,99316247.10186514,NA,49.6743197770451,NA,NA,-49.9777053492594,NA
2021-12-31,2021,12,NA,5130100,4346338,783762,NA,NA,67.30893033455953,NA,NA,11.262108464777665,NA,NA
2022-01-31,2022,1,NA,3899271,3206560,692711,NA,NA,51.15996960967004,NA,NA,NA,NA,NA
2022-02-28,2022,2,NA,4024141,3456142,567999,NA,NA,52.79831313725751,NA,NA,-25.70980282403624,NA,NA
2022-03-31,2022,3,NA,5315342,4488010,827332,NA,NA,69.73937825429492,NA,NA,NA,NA,NA
2022-04-30,2022,4,NA,5779094,4762467,1016627,NA,NA,75.8239869481825,NA,NA,12.274454217868369,NA,NA
2022-05-31,2022,5,NA,6116255,5022220,1094035,NA,NA,80.2476719173898,NA,NA,NA,NA,NA
2022-06-30,2022,6,NA,6379593,5107049,1272544,NA,NA,83.70277008242405,NA,NA,43.016664970383786,NA,NA
2022-07-01,2022,7,2022,NA,NA,NA,211008782.5,182060058.2049443,NA,91.05971896646514,NA,NA,81.86694987873615,NA
2022-07-31,2022,7,NA,6923771,5365085,1558686,NA,NA,90.8425995383021,NA,NA,38.861928291205714,NA,NA
2022-08-01,2022,8,2022,NA,NA,NA,211008782.5,182121523.45079342,NA,91.09046161297645,NA,NA,82.78340001938776,NA
2022-08-31,2022,8,NA,6672045,5165893,1506152,NA,NA,87.53985538177545,NA,NA,33.571185334174956,NA,NA
2022-09-01,2022,9,2022,NA,NA,NA,211008782.5,181753353.25513813,NA,90.90631647494482,NA,NA,83.0046528728781,NA
2022-09-30,2022,9,NA,6201646,4906952,1294694,NA,NA,81.36803543275956,NA,NA,20.887429094949404,NA,NA
2022-10-01,2022,10,2022,NA,NA,NA,211008782.5,181021460.55746645,NA,90.54025077101886,NA,NA,NA,NA
2022-10-31,2022,10,NA,6433963,5169901,1264062,NA,NA,84.41612587320591,NA,NA,59.88413427859511,NA,NA
2022-11-01,2022,11,2022,NA,NA,NA,211008782.5,181203880.57146457,NA,90.63149052658255,NA,NA,NA,NA
2022-11-30,2022,11,NA,5994185,4821134,1173051,NA,NA,78.64606549140596,NA,NA,3.7218809730383384,NA,NA
2022-12-01,2022,12,2022,NA,NA,NA,211008782.5,181753353.25513813,NA,90.90631647494482,NA,NA,NA,NA
2022-12-31,2022,12,NA,5910205,4631643,1278562,NA,NA,77.54421485116575,NA,NA,-7.357648050588805,NA,NA
2023-01-31,2023,1,NA,5705080,4361458,1343622,NA,NA,74.85289414886434,NA,NA,NA,NA,NA
2023-02-28,2023,2,NA,5156644,4045246,1111398,NA,NA,67.65719805776192,NA,NA,-25.522608994433817,NA,NA
2023-03-31,2023,3,NA,6209788,4816843,1392945,NA,NA,81.47486167606553,NA,NA,NA,NA,NA
2023-04-30,2023,4,NA,6451976,4956414,1495562,NA,NA,84.6524635200581,NA,NA,-3.2983740367458547,NA,NA
2023-05-31,2023,5,NA,6841521,5325603,1515918,NA,NA,89.76344717869556,NA,NA,NA,NA,NA
2023-06-30,2023,6,NA,7105643,5436485,1669158,NA,NA,93.22883173217883,NA,NA,14.576726888313196,NA,NA
2023-07-31,2023,7,NA,7841787,5849533,1992254,NA,NA,102.88733063321467,NA,NA,NA,NA,NA
2023-08-31,2023,8,NA,7362865,5488240,1874625,NA,NA,96.60368557099602,NA,NA,14.437478114188718,NA,NA
2023-09-30,2023,9,NA,6609800,4989587,1620213,NA,NA,86.7231764927334,NA,NA,NA,NA,NA
2023-10-31,2023,10,NA,6962475,5368680,1593795,NA,NA,91.35041124561167,NA,NA,16.153822412888495,NA,NA
2023-11-30,2023,11,NA,6460913,5016831,1444082,NA,NA,84.76972047614082,NA,NA,NA,NA,NA
2023-12-31,2023,12,NA,6495159,4952730,1542429,NA,NA,85.21904146954004,NA,NA,9.897355506281102,NA,NA
2024-01-31,2024,1,NA,5996249,4349195,1647054,NA,NA,78.67314598344521,NA,NA,5.103679527719152,NA,NA
2024-02-29,2024,2,NA,5500181,4148930,1351251,NA,NA,72.16453865547805,NA,NA,6.662026697984191,NA,NA
2024-03-31,2024,3,NA,6491845,4848971,1642874,NA,NA,85.17556048571346,NA,NA,4.542135737967223,NA,NA
2024-04-30,2024,4,NA,6680255,4972828,1707427,NA,NA,87.64757381183466,NA,NA,3.5381253743039354,NA,NA
2024-05-31,2024,5,NA,7074426,5403280,1671146,NA,NA,92.81925241047868,NA,NA,3.404286853756644,NA,NA
2024-06-30,2024,6,NA,7283424,5446892,1836532,NA,NA,95.56138839653397,NA,NA,2.501969209542332,NA,NA
2024-07-31,2024,7,NA,7916819,5805725,2111094,NA,NA,103.87177999304444,NA,NA,0.9568227242081395,NA,NA
2024-08-31,2024,8,NA,7585387,5585661,1999726,NA,NA,99.52326175779683,NA,NA,3.0222202906069917,NA,NA
2024-09-30,2024,9,NA,6773739,5071087,1702652,NA,NA,88.87412067123233,NA,NA,2.4802414596508227,NA,NA
2024-10-31,2024,10,NA,7109167,5430018,1679149,NA,NA,93.27506799862567,NA,NA,2.1068944592260497,NA,NA
2024-11-30,2024,11,NA,6398885,4931247,1467638,NA,NA,83.95588871247304,NA,NA,-0.960050073418417,NA,NA
2024-12-31,2024,12,NA,7017624,5357525,1660099,NA,NA,92.07398782287538,NA,NA,8.043913936517932,NA,NA
2025-01-31,2025,1,NA,12215080,8785684,3429396,NA,NA,160.266655377297,NA,NA,103.71202063156484,NA,NA
2025-02-28,2025,2,NA,10661280,7982840,2678440,NA,NA,139.88018806597003,NA,NA,93.83507560932995,NA,NA
2025-03-31,2025,3,NA,12901782,9710518,3191264,NA,NA,169.2764557863734,NA,NA,98.7382939672774,NA,NA
2025-04-30,2025,4,NA,13416030,9930844,3485186,NA,NA,176.02359186689552,NA,NA,100.83110599819918,NA,NA
2025-05-31,2025,5,NA,14159932,10828664,3331268,NA,NA,185.78387878016028,NA,NA,100.1566204805874,NA,NA
2025-06-30,2025,6,NA,14648600,11052506,3596094,NA,NA,192.1953951967464,NA,NA,101.12243911654737,NA,NA
